User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
root,ASIA2FLLZSFWP7KDE2FD,2020-06-05T21:57:13Z,iam.amazonaws.com,UpdateLoginProfile,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",f015be13-9a3a-4e6b-bdea-023ac1bd68e5,38ea6d5c-8e66-4056-976b-571324d82eb7,,AwsApiCall,698695127404,
root,ASIA2FLLZSFWP7KDE2FD,2020-06-05T21:56:54Z,iam.amazonaws.com,UpdateLoginProfile,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",f0fc3f5c-eabe-4a3e-838b-65d72e42df5f,e1f3ff30-3d47-4098-b1ee-0ee3c11c3b3c,,AwsApiCall,698695127404,
root,,2020-06-05T21:55:59Z,signin.amazonaws.com,ConsoleLogin,us-east-1,176.199.210.146,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",,[],,cfe3fe4d-aabb-4ba3-ae1a-d6842970fc51,,AwsConsoleSignIn,698695127404,
Accountant,ASIA2FLLZSFWAZ5FKXJQ,2020-06-05T21:53:45Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],a00b9f43-170c-4172-83f0-826036249200,c7a439f3-9e2a-4bb1-908c-77cc22edf39d,false,AwsApiCall,698695127404,
Administrator,ASIA2FLLZSFWBQAOJROK,2020-06-05T21:53:16Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",3bca5e6e-d2db-44dc-9541-a39391fc89ce,de6750a3-200b-4571-b300-cf7f640c70c4,,AwsApiCall,698695127404,
Administrator,ASIA2FLLZSFWBQAOJROK,2020-06-05T21:53:15Z,iam.amazonaws.com,CreateUser,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::698695127404:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA2FLLZSFWI6BK4XHLV""}]",60b59fa5-a558-4eff-ad45-fd504a616bdd,50a05862-488a-4531-88fc-8f0edd43fb67,,AwsApiCall,698695127404,
Administrator,ASIA2FLLZSFWBQAOJROK,2020-06-05T21:53:15Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",299bc090-ec3d-4446-8b67-ff17218042ea,5a910eaf-39ef-4c39-9238-004f9c95efe1,,AwsApiCall,698695127404,
Administrator,ASIA2FLLZSFWBQAOJROK,2020-06-05T21:53:15Z,iam.amazonaws.com,AddUserToGroup,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",af520ead-7762-4d48-a77b-1bcc2bf5ab80,6f7ef512-5d30-4e09-a3cf-3ed3ea7b5c9d,,AwsApiCall,698695127404,
CloudTrail,,2020-06-05T21:52:16Z,signin.amazonaws.com,SwitchRole,us-east-1,176.199.210.146,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",,[],,8df8216b-c29e-4a92-9fb9-e4e6da7e785a,,AwsConsoleSignIn,698695127404,
CloudTrail,,2020-06-05T21:52:06Z,signin.amazonaws.com,SwitchRole,us-east-1,176.199.210.146,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36",,[],,2d20f7ec-3b66-4983-9b90-6169f572cf38,,AwsConsoleSignIn,698695127404,
CloudTrail,ASIA2FLLZSFWLMMRNLET,2020-06-05T21:45:51Z,cloudtrail.amazonaws.com,StartLogging,eu-central-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",c14cd4e1-0587-457e-8eed-1a8c2a2fd01c,728bbd84-6b44-4569-9d1c-5dbc5defdbb6,false,AwsApiCall,698695127404,
CloudTrail,ASIA2FLLZSFWLMMRNLET,2020-06-05T21:45:50Z,cloudtrail.amazonaws.com,CreateTrail,eu-central-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-central-1:698695127404:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-jprottung""}]",a86cbedb-25eb-46fd-90bb-9767a0ad0a5a,b61fe948-dcf2-476b-80f0-994410eb156d,false,AwsApiCall,698695127404,
CloudTrail,ASIA2FLLZSFWLMMRNLET,2020-06-05T21:45:50Z,s3.amazonaws.com,PutBucketPolicy,eu-central-1,176.199.210.146,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.184-0.1.ac.235.83.329.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-jprottung""}]",6D09A7B37E777B81,ddb9e6c2-33cb-433f-94d8-56e6ae9f461f,,AwsApiCall,698695127404,
